"flight_id","origin_airport_id","destination_airport_id","airline_id","passengers","freight","mail","distance","ramp_to_ramp","air_time","seats","payload","aircraft_group","aircraft_type","aircraft_config","class"
452,11292,11193,20436,9170,0,0,1069,9390,7943,10800,2196000,6,694,1,"F"
453,11292,11193,20500,1332,0,0,1069,3331,2688,1470,369810,6,631,1,"F"
454,11292,11233,20358,13,0,0,90,202,135,95,22500,4,405,1,"F"
455,11292,11259,19393,2123,3577,0,651,1975,1626,2431,547400,6,619,1,"F"
456,11292,11259,19393,5184,5345,0,651,3486,2917,5600,1388800,6,614,1,"F"
457,11292,11259,19393,18575,35007,0,651,16417,13469,21593,5224600,6,612,1,"F"
458,11292,11267,20304,192,0,0,1085,444,381,228,45600,6,673,1,"F"
459,11292,11267,20500,3095,0,0,1085,7895,6560,3570,898110,6,631,1,"F"
460,11292,11278,19977,322,0,0,1476,371,334,332,85088,6,614,1,"F"
461,11292,11278,19977,4488,480,0,1476,5217,4687,4833,1170629,6,634,1,"F"
462,11292,11278,20436,1275,0,0,1476,1846,1593,1350,270000,6,698,1,"F"
463,11292,11278,20436,13293,0,0,1476,16036,14191,14580,2960400,6,694,1,"F"
464,11292,11283,20225,176,0,0,292,1912,1491,690,174800,4,456,1,"F"
465,11292,11292,20225,37,0,0,0,224,176,90,22800,4,456,1,"F"
466,11292,11292,21599,6,0,0,0,100,84,8,1600,4,479,1,"F"
467,11292,11298,19805,483,0,0,641,427,337,560,146200,6,655,1,"F"
468,11292,11298,19805,4423,1286,39,641,3852,2913,5440,1363000,6,614,1,"F"
469,11292,11298,19805,37440,6733,193,641,26311,20059,41399,11456600,6,699,1,"F"
470,11292,11298,19977,3383,4871,14152,641,2556,2054,3936,1009889,6,614,1,"F"
471,11292,11298,19977,3967,2474,10332,641,4028,3109,4480,1228073,6,698,1,"F"
472,11292,11298,19977,4739,3690,11064,641,3730,2946,5250,1263884,6,694,1,"F"
473,11292,11298,19977,5611,5066,49414,641,4055,3206,6432,1650380,6,634,1,"F"
474,11292,11298,20107,0,16753,0,641,191,159,0,107634,6,691,2,"G"
475,11292,11298,20304,67,0,0,641,122,91,70,18740,6,631,1,"F"
476,11292,11298,20304,1653,0,0,641,2726,2115,1748,349600,6,673,1,"F"
477,11292,11298,20416,4029,0,0,641,3221,2597,5400,1092000,6,694,1,"F"
478,11292,11298,20436,4019,0,0,641,3491,2603,4500,900000,6,698,1,"F"
479,11292,11298,20452,400,0,0,641,808,588,420,114552,6,677,1,"F"
480,11292,11298,20500,255,0,0,641,489,361,280,70440,6,631,1,"F"
481,11292,11315,20237,1759,0,0,488,4852,3710,2600,578136,6,675,1,"F"
482,11292,11315,20354,43,0,0,488,91,72,50,10841,6,675,1,"L"
483,11292,11413,20237,45,0,0,250,72,53,50,11118,6,675,1,"F"
484,11292,11413,20304,280,0,0,250,322,225,350,93700,6,631,1,"F"
485,11292,11413,20304,2016,0,0,250,3300,2154,2500,671500,6,629,1,"F"
486,11292,11413,20500,6129,0,0,250,7573,5265,7910,1989930,6,631,1,"F"
487,11292,11423,19977,869,694,0,589,666,535,1253,338785,6,634,1,"F"
488,11292,11423,19977,1248,1925,0,589,948,723,1500,358429,6,694,1,"F"
489,11292,11423,19977,1903,4017,0,589,1386,1110,2324,580110,6,614,1,"F"
490,11292,11423,19977,4415,3569,0,589,3658,2895,4992,1378403,6,698,1,"F"
491,11292,11423,20304,3249,0,0,589,4779,3533,3496,699200,6,673,1,"F"
492,11292,11423,20436,1366,0,0,589,999,769,1500,300000,6,698,1,"F"
493,11292,11423,20436,3185,0,0,589,1851,1443,3600,721200,6,694,1,"F"
494,11292,11423,20452,60,0,0,589,98,74,70,19092,6,677,1,"F"
495,11292,11433,19393,140,110,0,1123,155,137,143,32200,6,619,1,"F"
496,11292,11433,19393,3996,3239,0,1123,4862,4149,4433,1072600,6,612,1,"F"
497,11292,11433,19393,4551,7042,0,1123,4352,3760,4725,1171800,6,614,1,"F"
498,11292,11433,19790,148,0,0,1123,158,137,149,32870,6,655,1,"F"
499,11292,11433,19790,4451,922,257,1123,4696,4025,4640,1127491,6,694,1,"F"
500,11292,11433,19790,5660,4926,0,1123,5559,4811,6300,1718150,8,888,1,"F"
501,11292,11433,19790,7029,2608,58,1123,7921,6802,7583,1833360,6,656,1,"F"
502,11292,11433,19977,86,0,1615,1123,152,128,128,36158,6,698,1,"F"
503,11292,11433,19977,850,86,7332,1123,959,829,1074,279180,6,634,1,"F"
504,11292,11433,19977,1017,1089,9567,1123,1366,1149,1200,286022,6,694,1,"F"
505,11292,11433,19977,6246,2266,56522,1123,7151,6100,7280,1812400,6,614,1,"F"
506,11292,11433,20416,144,0,0,1123,153,133,145,29000,6,698,1,"F"
507,11292,11433,20416,4466,0,0,1123,4530,3850,5040,1013600,6,694,1,"F"
508,11292,11433,20436,64,0,0,1123,153,133,150,30000,6,698,1,"F"
509,11292,11433,20436,5851,0,0,1123,5764,4799,6300,1294800,6,694,1,"F"
510,11292,11468,20225,645,0,0,305,4620,3767,1680,425600,4,456,1,"F"
511,11292,11481,19393,164,120,0,1250,212,198,175,43400,6,614,1,"F"
512,11292,11503,20500,1101,0,0,120,1508,789,2100,528300,6,631,1,"F"
513,11292,11540,20107,0,67964,0,563,248,195,0,213861,6,691,2,"G"
514,11292,11540,20237,1456,0,0,563,3577,2866,1700,378012,6,675,1,"F"
515,11292,11540,20304,918,0,0,563,1822,1442,1260,337320,6,631,1,"F"
516,11292,11540,20304,2436,0,0,563,6413,4997,2950,789500,6,629,1,"F"
517,11292,11540,20452,169,0,0,563,318,250,210,57276,6,677,1,"F"
518,11292,11603,19977,479,5,0,996,606,535,652,156861,6,614,1,"F"
519,11292,11603,19977,706,34,0,996,1062,929,896,217873,6,698,1,"F"
520,11292,11603,19977,802,9,0,996,1063,950,1253,248921,6,634,1,"F"
521,11292,11603,19977,1180,147,0,996,1764,1491,1650,400501,6,694,1,"F"
