"path_id","origin_airport_id","destination_airport_id","distance"
394,11292,11283,292
395,11109,10466,543
396,15582,11292,259
397,11292,10194,626
398,13158,11292,563
399,10994,11292,1449
400,12012,11292,152
401,13244,11921,1061
402,11109,13930,911
403,11292,14783,637
404,11292,12889,628
405,11109,13204,1520
406,14492,11292,1436
407,11109,11292,73
408,11292,11921,212
409,11278,11292,1476
410,11503,11292,120
411,11259,11109,602
412,11122,12094,172
413,11292,13303,1709
414,11292,12954,854
415,11292,10849,524
416,14794,11292,517
417,14771,11292,967
418,11292,13200,218
419,11292,11267,1085
420,11292,14747,1024
421,11292,14794,517
422,11292,11481,1250
423,11298,11503,721
424,11921,12892,655
425,14771,10372,848
426,10325,11292,22
427,11292,14100,1558
428,11292,14107,602
429,10423,10325,764
430,11292,10561,845
431,12892,11109,834
432,12519,11292,573
433,11292,12339,977
434,13367,11292,752
435,11292,12264,1452
436,14893,11292,909
437,11292,11638,844
438,10272,10140,170
439,14814,11292,792
440,10747,11292,1049
441,11292,11092,283
442,11292,12899,228
443,11292,11697,1703
444,11292,11973,1095
445,11292,12953,1620
446,11292,15376,639
447,12888,11292,113
448,10194,11292,626
449,11433,11292,1123
450,11259,11292,651
451,13486,11109,734
452,14057,11292,991
453,13502,12266,927
454,11292,14457,300
455,10397,11292,1199
456,12451,11292,1447
457,13204,11292,1546
