"path_data_id","airline_id","passengers","freight","mail","air_time","seats","payload","class","path_id","ramp_distance_id","aircraft_type_id","aircraft_config_id"
202,20452,73,0,0,17,76,21803,"F",407,43,673,1
203,20452,1667,0,0,534,1890,515484,"F",407,1191,677,1
204,19790,139,0,0,75,160,38879,"F",241,91,694,1
205,19805,133,0,0,78,160,39900,"F",241,97,614,1
206,19805,14255,0,0,9404,16380,4234700,"F",241,12594,655,1
207,20107,0,125368,0,215,0,377317,"G",383,290,622,2
208,20304,1822,0,0,3280,2100,562200,"F",339,4063,631,1
209,20366,962,0,0,2557,1200,240000,"F",339,3134,675,1
210,20452,2188,0,0,3992,2520,687312,"F",339,4877,677,1
211,19805,124,0,0,85,140,39400,"F",325,117,655,1
212,20368,1268,0,0,786,1494,360000,"F",29,1038,655,1
213,20436,3208,0,0,2372,3900,780000,"F",29,2971,698,1
214,20304,363,0,0,740,456,91200,"F",106,941,673,1
215,20304,2274,0,0,6868,2700,729000,"F",106,8810,629,1
216,20436,1388,0,0,1308,1650,330000,"F",106,1572,698,1
217,20304,0,0,0,97,50,13500,"F",18,143,629,1
218,20436,4166,0,0,5492,4500,900000,"F",405,6180,698,1
219,20107,0,576847,0,2357,0,1385637,"G",271,2790,622,2
220,20304,0,0,0,100,50,13500,"F",38,137,629,1
221,20304,1487,0,0,4377,1750,469000,"F",402,5408,629,1
222,20304,1880,0,0,3481,2128,425600,"F",402,4492,673,1
223,20366,1158,0,0,3443,1400,280000,"F",402,4293,675,1
224,20436,2198,0,0,2215,2850,570000,"F",402,2766,698,1
225,20436,3970,0,0,2451,4500,900000,"F",284,3028,698,1
226,19687,1004,0,0,2327,1140,271500,"F",234,2946,673,1
227,20304,1007,0,0,2376,1140,228000,"F",234,2765,673,1
228,20436,917,0,0,1146,1200,240000,"F",77,1351,698,1
229,20304,2603,0,0,4465,2850,759000,"F",332,6026,629,1
230,20366,47,0,0,124,50,10000,"F",8,144,675,1
231,20304,46,0,0,85,50,13500,"F",146,104,629,1
232,20368,156,0,0,120,215,95000,"L",193,132,622,1
233,20402,0,0,0,140,173,42500,"L",303,160,614,1
234,19790,103,492,0,54,110,29900,"F",235,83,608,1
235,20237,2116,0,0,2361,2850,633726,"F",235,3628,675,1
236,20304,48,0,0,41,50,13500,"F",235,56,629,1
237,20500,3257,0,0,2471,4340,1091820,"F",235,3752,631,1
238,20107,0,40688,0,1630,0,84000,"G",412,1796,416,2
239,19790,2486,1529,1008,3556,2640,717600,"F",290,3959,608,1
240,19977,112,106,0,294,300,72444,"F",290,326,694,1
241,19977,438,24,0,572,512,143189,"F",290,670,698,1
242,20190,0,627144,0,3343,0,1668260,"P",290,3922,617,2
